curvature,look_fw_curvature,n,alpha,delta,rec_diff
0.6779651412866528,0.6499610513057127,-0.0499999999999999,1.15,-0.3280687016584256,-0.4058108044352664
0.8776850403991263,0.961279826665964,0.08,0.3,-0.1908125173811668,-0.2937867751129632
1.252456565251903,1.4439015524961207,0.13,0.0999999999999999,-0.1855655274381952,-0.3425560506433214
-1.2678765884944252,-1.253863229850387,0.03,-0.5066370614359172,0.0792444645872132,0.2387314484090154
0.6779651412866528,0.6499610513057127,0.01,1.15,-0.3703545621776488,-0.4480966649544896
-0.6520079664863423,-0.6271822949893765,-0.03,0.0999999999999999,0.0090671650721608,0.0836490447700579
-0.6520079664863423,-0.6271822949893765,-0.0199999999999999,-0.5066370614359172,0.1774882254566821,0.2520701051545793
0.8776850403991263,0.961279826665964,-0.125,0.65,0.0282380438454572,-0.0747362138863392
1.135788145974598,1.0299832957043902,0.02,0.0999999999999999,-0.0422072069337637,-0.1811371339987993
0.6779651412866528,0.6499610513057127,-0.0199999999999999,0.65,-0.1630840620033466,-0.2408261647801874
1.3574858511770282,1.2469946940893897,0.155,0.65,-0.3152175171935414,-0.4898080174474928
1.4297952792035464,2.024095652932377,0.01,1.15,-0.3132073068167786,-0.5008396106115167
0.5991746255536656,0.5935426134685385,0.155,0.65,-0.3608926571023265,-0.4291119017885951
1.4297952792035464,2.024095652932377,-0.0199999999999999,-0.5066370614359172,0.3209249131723178,0.1332926093775798
-1.5118983591307604,-1.7707823796450544,0.0,-1.0066370614359172,0.2674454703457012,0.4710201518267906
-1.2678765884944252,-1.253863229850387,0.105,1.15,-0.5235700455492048,-0.3640830617274027
-0.7086612881870569,-0.7516264442997069,0.01,-0.3,0.0603711247019492,0.1418818204936875
-1.5118983591307604,-1.7707823796450544,0.155,-0.5066370614359172,-0.1198352493417851,0.0837394321393042
-1.2678765884944252,-1.253863229850387,0.055,-0.0999999999999999,-0.0877745920883041,0.071712391733498
0.6779651412866528,0.6499610513057127,0.105,-0.3,-0.0703020286167213,-0.1480441313935621
-0.9003435210523172,-0.9871311510648796,-0.1,-0.0999999999999999,0.1636578040255879,0.2696154791709305
0.8351531591030978,0.7746267852647152,0.08,-1.0066370614359172,0.3217253095924015,0.2242778074769369
-0.7086612881870569,-0.7516264442997069,0.105,1.15,-0.5235759333584172,-0.4420652375666789
