velocity,init_velocity,target_velocity
606.0,0.1,1.2
607.0,0.1,1.2
608.0,0.1,1.2
609.0,0.1,1.2
610.0,0.1,1.2
611.0,0.1,1.2
612.0,0.1,1.2
613.0,0.1,1.2
614.0,0.1,1.2
615.0,0.1,1.2
616.0,0.1,1.2
617.0,0.1,1.2
618.0,0.1,1.2
619.0,0.1,1.2
620.0,0.1,1.2
621.0,0.1,1.2
622.0,0.1,1.2
623.0,0.1,1.2
624.0,0.1,1.2
625.0,0.1,1.2
626.0,0.1,1.2
627.0,0.1,1.2
628.0,0.1,1.2
629.0,0.1,1.2
630.0,0.1,1.2
631.0,0.1,1.2
632.0,0.1,1.2
633.0,0.1,1.2
634.0,0.1,1.2
635.0,0.1,1.2
636.0,0.1,1.2
637.0,0.1,1.2
638.0,0.1,1.2
639.0,0.1,1.2
640.0,0.1,1.2
641.0,0.1,1.2
642.0,0.1,1.2
643.0,0.1,1.2
644.0,0.1,1.2
645.0,0.1,1.2
646.0,0.1,1.2
647.0,0.1,1.2
648.0,0.1,1.2
649.0,0.1,1.2
650.0,0.1,1.2
651.0,0.1,1.2
652.0,0.1,1.2
653.0,0.1,1.2
654.0,0.1,1.2
655.0,0.1,1.2
656.0,0.1,1.2
657.0,0.1,1.2
658.0,0.1,1.2
659.0,0.1,1.2
660.0,0.1,1.2
661.0,0.1,1.2
662.0,0.1,1.2
663.0,0.1,1.2
664.0,0.1,1.2
665.0,0.1,1.2
666.0,0.1,1.2
667.0,0.1,1.2
668.0,0.1,1.2
669.0,0.1,1.2
670.0,0.1,1.2
671.0,0.1,1.2
672.0,0.1,1.2
673.0,0.1,1.2
674.0,0.1,1.2
675.0,0.1,1.2
676.0,0.1,1.2
677.0,0.1,1.2
678.0,0.1,1.2
679.0,0.1,1.2
680.0,0.1,1.2
681.0,0.1,1.2
682.0,0.1,1.2
683.0,0.1,1.2
684.0,0.1,1.2
685.0,0.1,1.2
686.0,0.1,1.2
687.0,0.1,1.2
688.0,0.1,1.2
689.0,0.1,1.2
690.0,0.1,1.2
691.0,0.1,1.2
692.0,0.1,1.2
693.0,0.1,1.2
694.0,0.1,1.2
695.0,0.1,1.2
696.0,0.1,1.2
697.0,0.1,1.2
698.0,0.1,1.2
699.0,0.1,1.2
700.0,0.1,1.2
701.0,0.1,1.2
702.0,0.1,1.2
703.0,0.1,1.2
704.0,0.1,1.2
705.0,0.1,1.2
706.0,0.1,1.2
707.0,0.1,1.2
708.0,0.1,1.2
709.0,0.1,1.2
710.0,0.1,1.2
711.0,0.1,1.2
712.0,0.1,1.2
713.0,0.1,1.2
714.0,0.1,1.2
715.0,0.1,1.2
716.0,0.1,1.2
717.0,0.1,1.2
718.0,0.1,1.2
719.0,0.1,1.2
720.0,0.1,1.2
721.0,0.1,1.2
722.0,0.1,1.2
723.0,0.1,1.2
724.0,0.1,1.2
725.0,0.1,1.2
726.0,0.1,1.2
727.0,0.1,1.2
728.0,0.1,1.2
729.0,0.1,1.2
730.0,0.1,1.2
731.0,0.1,1.2
