s,curvature,initial_pathTheta,terminal_pathTheta,x,y
0.0,1,0,0,0.0,0.0
0.01,1,0,0,0.009999500004166653,9.999833334166665e-05
0.02,1,0,0,0.01999750007083243,0.0002999850002749975
0.03,1,0,0,0.029993000408322305,0.000599940002299954
0.04,1,0,0,0.039985001474932086,0.0009998333441662956
0.05,1,0,0,0.04997250407888175,0.001499625036873079
0.06,1,0,0,0.05995450947823379,0.0020992651016675246
0.07,1,0,0,0.06993001948076659,0.002798693575042853
0.08,1,0,0,0.07989803654379278,0.0035978405147345793
0.09,1,0,0,0.08985756387391272,0.00449662600671469
0.1,1,0,0,0.09980760552669299,0.0054949601731829716
0.11,1,0,0,0.10974716650625996,0.006592743181554719
0.12,1,0,0,0.11967525286479862,0.007789865254443912
0.13,1,0,0,0.1295908718019465,0.009086206680640863
0.14,1,0,0,0.13949303176407288,0.010481637827083229
0.15,1,0,0,0.14938074254343328,0.011976019151819218
0.16,1,0,0,0.15925301537718956,0.01356920121796168
0.17,1,0,0,0.16910886304628517,0.015261024708631641
0.18,1,0,0,0.17894729997416636,0.01705132044288988
0.19,1,0,0,0.18876734232533907,0.018939909392654886
0.2,1,0,0,0.1985680081037515,0.0209266027006055
0.21,1,0,0,0.20834831725099295,0.02301120169906649
0.22,1,0,0,0.21810729174429902,0.025193497929875186
0.23,1,0,0,0.22784395569435278,0.02747327316522707
0.24,1,0,0,0.23755733544287305,0.029850299429498413
0.25,1,0,0,0.24724645965997952,0.032324339022043645
0.26,1,0,0,0.2569103594413247,0.0348951445409652
0.27,1,0,0,0.2665480684049836,0.037562458907853515
0.28,1,0,0,0.2761586227880913,0.04032601539349465
0.29,1,0,0,0.2857410615432182,0.043185537644543
0.3,1,0,0,0.2952944264344743,0.0461407397111564
0.31,1,0,0,0.30481776213333145,0.04919132607559083
0.32,1,0,0,0.31431011631415584,0.052336991681752015
0.33,1,0,0,0.3237705397494397,0.0555774219657007
0.34,1,0,0,0.33319808640472315,0.05891229288710885
0.35000000000000003,1,0,0,0.34259181353319695,0.062341270961663364
0.36,1,0,0,0.35195078176997624,0.06586401329441424
0.37,1,0,0,0.3612740552260366,0.06948016761406386
0.38,1,0,0,0.3705607015818017,0.0731893723081937
0.39,1,0,0,0.37980979218037486,0.07699125645942531
0.4,1,0,0,0.38902040212040373,0.08088543988251182
0.41000000000000003,1,0,0,0.3981916103485698,0.08487153316235604
0.42,1,0,0,0.4073224997516929,0.08894913769295172
0.43,1,0,0,0.4164121572484417,0.09311784571724384
0.44,1,0,0,0.4254596738806414,0.09737724036790384
0.45,1,0,0,0.4344641449041681,0.10172689570901614
0.46,1,0,0,0.44342466987942336,0.10616637677867134
0.47000000000000003,1,0,0,0.4523403527613767,0.11069523963246203
0.48,1,0,0,0.46121030198916946,0.11531303138787684
0.49,1,0,0,0.4700336305752707,0.12001929026958842
0.5,1,0,0,0.4788094561941744,0.12481354565563045
0.51,1,0,0,0.48753690127063193,0.12969531812445953
0.52,1,0,0,0.4962150930674084,0.1346641195028969
0.53,1,0,0,0.504843163772556,0.13971945291494536
0.54,1,0,0,0.5134202505861942,0.1448608128314765
0.55,1,0,0,0.5219454958067893,0.1500876851207831
0.56,1,0,0,0.5304180469169234,0.15539954709999193
0.5700000000000001,1,0,0,0.5388370566685461,0.16079586758733164
0.58,1,0,0,0.5472016831676979,0.1662761069552503
0.59,1,0,0,0.5555110899586996,0.17183971718437815
0.6,1,0,0,0.5637644461077964,0.1774861419183285
